DIRECTORIO;Departamento;HorasTVEncendido
7121776;11;2
7121783;11;5
7122417;5;14
7122424;5;12
7122425;5;13
7122428;5;13
7122433;5;3
7122442;5;6
7122449;5;10
7122451;5;5
7122452;5;2
7122456;5;6
7122457;5;6
7122458;5;2
7123120;11;3
7123121;11;14
7123126;11;8
7123130;11;5
7123132;11;18
7123138;11;3
7123143;11;5
7123145;11;2
7123871;11;11
7123872;11;8
7123873;11;5
7123879;11;3
7123880;11;5
7123881;11;2
7123887;11;5
7123888;11;16
7123889;11;0
7123892;11;4
7123893;11;12
7123895;11;5
7124605;11;8
7124606;11;6
7124607;11;3
7124608;11;4
7124610;11;10
7124611;11;10
7124612;11;4
7124614;11;6
7124616;11;5
7124620;11;5
7124622;11;9
7124623;11;2
7124624;11;2
7124626;11;6
7124627;11;5
7124628;11;6
7124629;11;10
7124630;11;5
7124632;11;8
7124633;11;6
7124634;11;8
7124635;11;2
7124636;11;6
7124638;11;11
7124640;11;4
7124641;11;10
7124642;11;6
7124643;11;8
7124646;11;7
7124647;11;5
7124649;11;6
7124650;11;9
7124650;11;2
7125891;5;9
7125893;5;3
7125894;5;2
7125902;5;16
7125915;5;5
7125916;5;13
7125917;5;9
7125922;5;12
7125923;5;9
7125924;5;6
7125926;5;12
7125927;5;13
7125929;5;19
7125930;5;12
7125931;5;5
7125935;5;13
7125936;5;9
7125939;5;6
7125943;5;9
7125945;5;5
7125951;5;21
7125952;5;3
7125956;5;4
7125957;5;5
7125959;5;9
7125962;5;6
7125966;5;11
7125972;5;11
7125974;5;2
7125977;5;3
7125978;5;6
7125979;5;5
7125981;5;3
7125982;5;3
7126009;5;6
7126011;5;2
7126012;5;14
7126013;5;5
7126015;5;6
7126016;5;0
7127270;5;3
7127271;5;5
7127272;5;7
7127273;5;4
7127274;5;2
7127277;5;7
7127282;5;4
7127283;5;4
7127285;5;4
7127286;5;1
7127289;5;6
7128162;11;5
7128163;11;5
7128168;11;8
7128169;11;5
7128170;11;7
7128171;11;9
7128172;11;16
7128174;11;7
7128181;11;7
7128183;11;7
7128213;11;7
7128219;11;11
7128228;11;14
7128233;11;14
7128234;11;12
7128236;11;6
7128238;11;5
7128243;11;12
7128245;11;4
7128248;11;9
7128252;11;5
7128256;11;5
7128263;11;5
7128266;11;5
7130009;5;9
7130010;5;14
7130013;5;6
7130016;5;20
7130019;5;14
7130021;5;7
7130022;5;1
7130029;5;9
7130040;5;11
7130043;5;12
7130046;5;12
7130048;5;5
7130050;5;9
7130051;5;5
7130057;5;9
7130059;5;18
7130061;5;5
7130062;5;4
7130083;5;6
7130085;5;7
7130087;5;4
7130090;5;4
7130092;5;11
7130094;5;6
7130096;5;7
7130099;5;6
7130100;5;14
7130103;5;5
7130107;5;6
7130111;5;2
7130112;5;9
7130117;5;3
7130121;5;7
7130126;5;7
7130130;5;7
7130133;5;8
7130134;5;5
7130135;5;7
7131805;5;14
7131811;5;3
7131813;5;3
7131814;5;6
7131817;5;17
7131819;5;7
7131820;5;3
7131821;5;0
7131823;5;2
7131825;5;0
7131825;5;3
7131826;5;5
7131827;5;5
7131828;5;7
7131831;5;5
7131832;5;2
7131833;5;7
7131834;5;4
7131835;5;5
7131836;5;2
7131837;5;5
7131838;5;6
7131839;5;3
7131840;5;4
7131842;5;6
7131843;5;4
7131845;5;6
7131848;5;6
7131855;5;5
7131856;5;4
7131857;5;6
7131858;5;4
7131859;5;5
7131863;5;6
7131872;5;2
7131873;5;6
7131876;5;6
7131881;5;5
7131884;5;12
7131893;5;8
7131895;5;9
7131896;5;3
7131897;5;5
7131898;5;5
7131903;5;4
7131905;5;9
7131908;5;5
7131912;5;4
7131913;5;5
7131914;5;5
7131916;5;0
7131922;5;4
7132510;11;3
7132511;11;9
7132515;11;3
7132518;11;3
7132519;11;11
7132520;11;7
7132522;11;15
7132523;11;3
7132524;11;3
7132525;11;5
7132526;11;14
7132527;11;12
7132528;11;5
7132529;11;6
7132533;11;15
7132534;11;6
7132535;11;4
7132536;11;7
7132537;11;6
7132540;11;2
7132541;11;7
7132544;11;1
7132547;11;4
7132548;11;10
7132549;11;2
7132550;11;2
7132552;11;1
7132553;11;4
7132554;11;6
7132556;11;6
7132557;11;4
7132558;11;5
7132560;11;12
7132561;11;4
7132564;11;7
7132566;11;5
7132567;11;7
7132569;11;4
7132571;11;7
7132577;11;4
7132578;11;7
7132579;11;5
7132580;11;2
7132582;11;7
7132584;11;4
7132585;11;7
7132586;11;10
7132588;11;7
7132589;11;10
7132590;11;3
7132591;11;15
7132592;11;6
7132600;11;4
7132601;11;12
7132602;11;7
7132603;11;11
7132605;11;10
7132606;11;11
7132607;11;10
7132608;11;15
7132609;11;3
7132610;11;0
7132613;11;3
7132616;11;7
7132617;11;2
7132618;11;5
7132619;11;7
7132621;11;12
7132622;11;3
7132625;11;10
7132626;11;5
7132633;11;2
7132634;11;12
7132636;11;4
7132637;11;7
7132640;11;4
7132641;11;9
7132642;11;14
7132643;11;4
7132644;11;4
7132645;11;3
7132646;11;6
7132647;11;3
7132649;11;10
7132651;11;4
7132652;11;7
7132656;11;6
7132660;11;3
7132663;11;14
7132664;11;9
7132666;11;4
7132667;11;10
7132669;11;7
7132670;11;4
7133069;5;2
7133076;5;19
7133080;5;12
7133083;5;17
7133088;5;9
7133089;5;12
7136041;5;5
7136042;5;5
7136044;5;5
7136045;5;4
7136046;5;5
7136047;5;5
7136048;5;3
7136049;5;6
7136051;5;5
7136058;5;8
7136060;5;12
7136062;5;4
7136063;5;12
7136066;5;5
7136067;5;4
7136072;5;12
7136077;5;7
7136079;5;19
7136082;5;7
7136083;5;12
7136086;5;8
7136088;5;5
7136094;5;2
7136095;5;8
7136097;5;8
7136100;5;5
7136105;5;5
7136107;5;14
7136112;5;8
7136116;5;14
7136118;5;8
7136121;5;5
7136123;5;12
7136127;5;0
7136129;5;7
7136136;5;7
7136139;5;6
7136140;5;7
7136141;5;6
7136142;5;3
7136145;5;7
7136150;5;8
7136153;5;4
7136154;5;5
7136156;5;4
7136159;5;4
7136164;5;9
7136172;5;6
7136176;5;5
7138396;11;11
7138401;11;6
7138416;11;5
7138417;11;12
7138422;11;5
7138425;11;4
7138436;11;7
7138453;11;7
7138465;11;10
7138467;11;6
7138468;11;6
7138471;11;18
7138479;11;4
7138480;11;11
7138483;11;10
7138494;11;6
7138496;11;5
7138501;11;7
7140730;5;8
7140734;5;10
7140736;5;4
7140740;5;7
7140744;5;4
7140748;5;18
7140750;5;10
7140751;5;12
7140752;5;9
7140755;5;18
7140756;5;10
7140757;5;9
7140758;5;18
7140760;5;6
7140766;5;3
7140768;5;2
7142853;5;14
7142855;5;10
7142856;5;12
7142857;5;7
7143333;11;9
7143334;11;5
7143335;11;4
7143336;11;4
7143339;11;7
7143344;11;11
7143345;11;7
7143348;11;7
7143349;11;4
7143350;11;6
7143351;11;5
7143354;11;9
7143356;11;4
7143358;11;7
7143359;11;11
7143361;11;1
7143363;11;1
7143367;11;14
7143368;11;2
7143369;11;2
7143370;11;4
7143374;11;11
7143375;11;6
7143376;11;3
7143377;11;7
7143378;11;10
7143379;11;2
7143380;11;9
7143381;11;5
7143382;11;11
7143384;11;12
7143385;11;16
7143386;11;4
7143387;11;11
7143388;11;6
7143391;11;4
7143392;11;3
7143397;11;7
7143399;11;3
7143402;11;7
7143403;11;14
7143404;11;7
7143405;11;14
7143406;11;2
7143407;11;6
7143408;11;7
7143409;11;10
7143410;11;11
7143413;11;7
7143414;11;3
7143416;11;4
7143417;11;7
7143419;11;3
7143422;11;7
7143425;11;7
7143426;11;7
7143427;11;8
7143428;11;3
7143430;11;7
7143431;11;4
7143434;11;8
7143435;11;4
7143436;11;9
7143437;11;7
7143439;11;4
7143440;11;8
7143441;11;8
7143443;11;8
7143444;11;7
7143448;11;14
7143449;11;10
7143451;11;8
7143453;11;6
7143455;11;7
7143457;11;8
7143458;11;6
7143460;11;7
7143462;11;5
7143463;11;1
7143464;11;9
7143465;11;14
7143469;11;10
7143470;11;14
7143471;11;3
7143472;11;8
7143473;11;10
7143474;11;5
7143476;11;5
7143477;11;8
7143479;11;1
7143480;11;11
7143484;11;5
7143486;11;14
7143488;11;7
7143489;11;6
7143490;11;2
7143491;11;5
7143493;11;11
7143495;11;4
7143497;11;6
7143499;11;19
7143500;11;11
7143501;11;5
7143502;11;5
7143503;11;8
7143505;11;3
7143506;11;5
7143507;11;11
7143508;11;9
7143511;11;2
7143513;11;3
7143514;11;8
7143515;11;6
7143516;11;2
7143517;11;5
7143519;11;8
7143521;11;8
7143522;11;7
7143523;11;4
7143524;11;3
7143525;11;1
7143526;11;8
7143527;11;8
7143528;11;5
7143529;11;16
7143530;11;6
7143531;11;2
7143532;11;5
7143533;11;3
7143535;11;11
7143536;11;11
7143537;11;9
7143539;11;10
7143541;11;5
7143542;11;1
7143544;11;14
7143545;11;12
7143546;11;16
7143547;11;12
7143550;11;2
7143551;11;4
7143552;11;8
7143553;11;8
7143554;11;1
7143557;11;5
7143559;11;3
7143560;11;7
7143561;11;5
7143563;11;5
7143564;11;6
7143565;11;8
7143566;11;11
7143568;11;1
7143569;11;12
7143570;11;3
7143571;11;2
7143572;11;6
7143574;11;4
7143575;11;14
7143576;11;8
7143577;11;14
7143584;11;4
7143585;11;4
7143587;11;6
7143589;11;5
7143590;11;6
7143591;11;6
7143593;11;3
7143594;11;4
7143596;11;4
7143599;11;11
7143601;11;5
7143604;11;6
7143606;11;7
7143610;11;10
7143614;11;7
7143616;11;6
7143617;11;0
7143618;11;12
7143620;11;7
7143621;11;5
7143623;11;7
7143624;11;1
7143627;11;6
7143628;11;14
7143629;11;6
7143631;11;6
7143632;11;9
7143633;11;0
7143634;11;9
7143635;11;0
7143638;11;11
7143639;11;20
7143640;11;1
7143641;11;2
7143642;11;5
7143643;11;2
7144022;5;3
7144023;5;8
7144027;5;5
7144028;5;3
7144030;5;3
7144033;5;6
7144034;5;6
7144036;5;8
7144037;5;3
7144039;5;3
7144041;5;8
7144042;5;5
7144917;11;0
7144918;11;7
7144925;11;2
7144926;11;1
7144929;11;5
7144932;11;11
7144933;11;9
7144937;11;7
7144938;11;8
7144939;11;5
7144941;11;4
7144942;11;5
7144944;11;5
7144945;11;6
7144946;11;2
7144948;11;2
7144955;11;5
7144965;11;4
7144984;11;4
7145013;11;4
7146835;5;2
7146839;5;3
7146840;5;8
7146840;5;7
7146841;5;5
7146842;5;5
7146844;5;8
7146845;5;8
7146847;5;3
7146852;5;3
7146853;5;4
7146854;5;5
7146855;5;5
7146857;5;5
7146858;5;3
7146861;5;7
7146862;5;3
7146864;5;6
7146865;5;6
7146866;5;10
7146867;5;4
7146868;5;10
7146870;5;6
7146873;5;10
7146874;5;6
7146875;5;12
7146877;5;9
7146880;5;9
7146882;5;5
7146887;5;10
7146889;5;9
7146899;5;12
7146901;5;9
7146905;5;3
7146907;5;19
7146908;5;9
7146909;5;12
7146910;5;9
7146912;5;13
7146917;5;14
7146918;5;12
7146921;5;8
7146923;5;4
7146928;5;5
7146929;5;7
7146930;5;8
7146931;5;14
7146932;5;8
7146934;5;10
7146938;5;4
7146940;5;12
7146942;5;3
7146943;5;3
7146947;5;8
7146948;5;11
7146951;5;8
7146953;5;4
7146955;5;4
7146956;5;3
7146959;5;2
7146961;5;5
7146962;5;8
7146963;5;3
7146965;5;4
7146966;5;2
7146968;5;13
7146969;5;6
7146984;5;8
7146986;5;4
7146987;5;6
7146989;5;13
7146990;5;2
7146992;5;5
7146993;5;4
7146995;5;6
7146997;5;3
7146999;5;5
7147001;5;4
7147002;5;2
7147005;5;6
7147006;5;1
7147007;5;3
7149610;11;1
7149611;11;10
7149618;11;5
7149619;11;9
7149624;11;5
7149626;11;6
7149627;11;6
7149632;11;14
7149633;11;7
7149634;11;12
7149635;11;12
7149637;11;2
7149638;11;5
7149640;11;9
7149641;11;11
7149645;11;3
7149648;11;5
7149649;11;8
7149650;11;14
7149651;11;10
7149652;11;11
7149653;11;9
7149657;11;12
7149661;11;3
7149663;11;5
7149664;11;4
7149666;11;2
7149667;11;7
7149670;11;4
7149671;11;6
7149672;11;9
7149673;11;1
7149674;11;6
7149676;11;3
7149677;11;6
7149678;11;2
7149680;11;2
7149681;11;4
7149682;11;10
7149683;11;9
7149684;11;2
7149685;11;2
7149686;11;4
7149687;11;9
7149688;11;5
7149689;11;6
7149691;11;5
7149692;11;4
7149693;11;5
7149694;11;5
7149695;11;9
7149696;11;3
7149698;11;11
7149699;11;8
7149700;11;4
7149701;11;6
7149702;11;12
7149703;11;5
7149704;11;6
7149705;11;4
7149706;11;4
7149707;11;9
7149710;11;5
7149711;11;7
7149712;11;4
7149713;11;2
7149715;11;3
7149716;11;3
7149717;11;3
7149718;11;4
7149719;11;9
7149720;11;3
7149721;11;6
7149723;11;4
7149724;11;5
7149725;11;7
7149726;11;4
7149727;11;4
7149728;11;5
7149729;11;11
7149730;11;4
7149732;11;14
7149733;11;12
7149734;11;7
7149735;11;1
7149736;11;2
7149737;11;5
7149738;11;8
7149739;11;9
7149741;11;8
7149742;11;6
7149743;11;7
7149750;11;4
7149753;11;3
7149782;11;5
7149784;11;5
7149799;11;5
7149817;11;7
7149818;11;10
7149836;11;4
7149867;11;14
7149873;11;8
7152197;5;11
7152199;5;8
7152200;5;14
7152205;5;0
7152207;5;14
7152208;5;10
7152213;5;10
7152214;5;12
7152216;5;9
7152217;5;14
7152221;5;6
7152224;5;9
7152225;5;17
7152226;5;10
7152231;5;11
7152235;5;11
7152238;5;4
7152239;5;1
7152240;5;4
7152241;5;1
7152242;5;3
7152244;5;2
7152245;5;2
7152246;5;3
7152247;5;3
7152248;5;8
7152249;5;4
7152250;5;3
7152251;5;7
7152254;5;6
7152255;5;4
7152258;5;6
7152260;5;3
7152262;5;3
7152263;5;4
7152266;5;2
7152271;5;1
7152272;5;4
7152276;5;3
7152280;5;6
7152281;5;3
7152284;5;4
7152285;5;3
7152286;5;3
7152288;5;2
7152289;5;5
7152292;5;2
7152293;5;3
7152294;5;8
7152296;5;2
7152298;5;2
7152300;5;3
7152302;5;3
7152303;5;4
7152304;5;4
7152305;5;3
7152306;5;2
7152307;5;3
7152308;5;3
7152310;5;3
7152313;5;5
7152314;5;7
7152315;5;3
7152319;5;4
7152322;5;5
7152324;5;4
7152325;5;4
7152329;5;4
7152330;5;5
7152332;5;4
7152333;5;1
7152335;5;5
7152337;5;8
7152339;5;5
7152343;5;4
7152344;5;3
7152345;5;4
7152346;5;6
7152348;5;3
7152349;5;1
7152354;5;4
7152372;5;4
7152380;5;2
7152387;5;4
7152390;5;2
7152391;5;8
7152396;5;5
7152405;5;4
7152406;5;5
7152407;5;5
7152416;5;4
7152417;5;8
7152420;5;4
7152422;5;5
7152424;5;6
7152425;5;3
7152438;5;4
7152444;5;4
7156384;5;13
7156385;5;12
7156390;5;10
7156395;5;5
7156396;5;6
7156400;5;4
7156401;5;5
7156402;5;5
7156404;5;5
7156410;5;7
7156412;5;4
7156413;5;3
7156415;5;6
7156418;5;13
7156419;5;4
7156420;5;10
7156421;5;6
7156422;5;6
7156424;5;4
7156425;5;7
7156426;5;7
7156427;5;5
7156429;5;3
7156430;5;9
7156431;5;6
7156432;5;5
7156433;5;4
7156435;5;9
7156436;5;11
7156437;5;11
7156440;5;12
7156442;5;9
7156446;5;6
7156448;5;11
7156455;5;11
7156459;5;7
7156460;5;11
7156463;5;8
7156464;5;13
7156465;5;9
7156466;5;4
7156473;5;4
7156479;5;6
7156481;5;7
7156483;5;5
7156484;5;9
7156488;5;9
7156489;5;7
7156490;5;6
7156491;5;2
7156494;5;4
7156495;5;5
7156498;5;10
7156499;5;6
7156500;5;11
7156501;5;3
7156502;5;5
7156504;5;5
7156507;5;5
7156509;5;10
7156513;5;7
7156516;5;6
7156517;5;2
7156518;5;6
7156519;5;1
7156522;5;4
7156524;5;6
7156532;5;4
7156533;5;7
7156535;5;7
7156539;5;8
7156541;5;3
7156544;5;3
7156545;5;11
7156552;5;5
7156554;5;5
7156572;5;9
7156579;5;7
7156586;5;6
7156594;5;17
7156612;5;6
7156634;5;11
7156650;5;11
7156652;5;3
7156654;5;4
7156659;5;5
7156660;5;6
7156661;5;3
7156663;5;9
7156664;5;11
7156667;5;9
7156669;5;12
7156670;5;9
7156679;5;2
7156681;5;1
7156686;5;11
7156688;5;2
7156691;5;8
7156693;5;3
7156694;5;3
7156716;5;7
7156718;5;5
7156722;5;7
7156726;5;3
7156730;5;5
7156731;5;6
7157997;11;11
7157999;11;10
7158003;11;4
7158004;11;5
7158005;11;3
7158008;11;10
7158009;11;7
7158010;11;3
7158015;11;9
7158016;11;8
7158018;11;7
7158019;11;10
7158020;11;3
7158021;11;11
7158023;11;11
7158024;11;3
7158025;11;1
7158026;11;14
7158027;11;11
7158028;11;14
7158030;11;0
7158031;11;3
7158033;11;7
7158034;11;2
7158037;11;11
7158038;11;5
7158039;11;8
7158041;11;5
7158043;11;9
7158044;11;5
7158045;11;5
7158046;11;6
7158047;11;2
7158048;11;14
7158049;11;7
7158050;11;9
7158051;11;16
7158052;11;3
7158053;11;4
7158054;11;7
7158056;11;5
7158058;11;3
7158062;11;14
7158063;11;11
7158066;11;5
7158069;11;4
7158071;11;4
7158073;11;7
7158077;11;13
7158078;11;10
7158079;11;8
7158081;11;10
7158082;11;6
7158083;11;6
7158085;11;4
7158087;11;11
7158091;11;3
7158092;11;13
7158093;11;9
7158094;11;12
7158095;11;12
7158096;11;1
7158100;11;13
7158101;11;13
7158102;11;13
7158104;11;7
7158105;11;7
7158107;11;8
7158108;11;16
7158112;11;10
7158113;11;9
7158116;11;4
7158117;11;9
7158120;11;16
7158121;11;8
7158125;11;14
7158127;11;6
7158134;11;8
7158135;11;6
7158136;11;0
7158137;11;6
7158139;11;13
7158140;11;10
7158146;11;6
7158147;11;4
7158149;11;9
7158155;11;9
7158156;11;14
7158158;11;10
7158160;11;6
7158165;11;2
7158166;11;5
7158167;11;12
7158169;11;8
7160110;5;11
7160111;5;13
7160120;5;6
7160123;5;5
7160124;5;4
7160126;5;19
7160127;5;11
7160129;5;14
7160130;5;8
7160131;5;19
7160134;5;10
7160135;5;8
7160138;5;7
7160139;5;7
7160140;5;3
7160141;5;3
7160142;5;3
7160143;5;6
7160144;5;5
7160146;5;5
7160147;5;4
7160149;5;9
7160150;5;4
7160151;5;10
7160152;5;3
7160153;5;3
7160154;5;13
7160155;5;10
7160157;5;2
7160158;5;8
7160161;5;3
7160168;5;11
7160171;5;8
7160172;5;6
7160178;5;6
7160179;5;2
7160180;5;4
7160181;5;3
7160183;5;3
7160188;5;7
7160190;5;3
7160191;5;2
7160192;5;10
7160193;5;4
7160195;5;3
7160199;5;5
7160202;5;3
7160203;5;4
7160205;5;1
7160206;5;2
7160207;5;4
7160209;5;7
7160211;5;2
7160212;5;2
7160213;5;11
7160216;5;21
7160217;5;2
7160235;5;2
7160245;5;6
7160250;5;2
7160257;5;3
7160258;5;4
7161951;5;12
7161953;5;12
7161954;5;5
7161955;5;9
7161956;5;3
7161958;5;4
7161962;5;9
7161964;5;10
7161965;5;10
7161967;5;3
7161978;5;13
7161980;5;11
7161982;5;7
7161984;5;14
7161986;5;3
7161988;5;10
7161992;5;10
7162004;5;9
7162005;5;4
7162006;5;4
7162007;5;3
7162008;5;4
7162009;5;12
7162010;5;7
7162015;5;5
7162016;5;7
7163682;11;4
7163696;11;6
7163697;11;8
7163698;11;8
7163701;11;8
7163702;11;5
7163703;11;8
7163704;11;4
7163705;11;7
7163707;11;5
7163708;11;4
7163711;11;7
7163712;11;3
7163713;11;5
7163714;11;16
7163715;11;4
7163717;11;6
7163720;11;5
7163721;11;6
7163724;11;6
7163727;11;8
7163728;11;7
7163729;11;3
7163731;11;3
7163732;11;11
7163733;11;15
7163734;11;7
7163735;11;9
7163736;11;9
7163737;11;12
7163740;11;14
7163742;11;1
7163743;11;16
7163745;11;13
7163746;11;10
7163747;11;8
7163748;11;9
7163749;11;6
7163750;11;8
7163752;11;6
7163753;11;16
7163754;11;15
7163755;11;7
7163756;11;6
7163757;11;9
7163758;11;14
7163761;11;3
7163763;11;5
7163764;11;4
7163766;11;5
7163767;11;0
7163768;11;16
7163769;11;15
7163770;11;11
7163772;11;15
7163774;11;6
7163775;11;7
7163776;11;12
7163777;11;5
7163778;11;9
7163780;11;3
7163824;11;8
7163826;11;7
7163835;11;5
7163836;11;4
7163837;11;4
7163863;11;9
7163874;11;17
7163885;11;8
7163889;11;7
7163892;11;10
7163896;11;8
7163929;11;4
7163986;11;7
7166577;5;11
7166578;5;13
7166579;5;7
7166581;5;8
7166582;5;5
7166583;5;11
7166584;5;5
7166585;5;8
7166586;5;11
7166587;5;12
7166588;5;14
7166589;5;10
7166590;5;13
7166592;5;13
7166595;5;4
7166597;5;6
7166600;5;11
7166601;5;14
7166602;5;13
7166604;5;11
7166606;5;12
7166607;5;9
7166608;5;13
7166609;5;1
7166610;5;12
7166611;5;9
7166612;5;9
7166613;5;10
7166616;5;9
7166620;5;3
7166622;5;10
7166623;5;10
7166624;5;10
7166625;5;11
7166627;5;14
7166632;5;10
7166633;5;11
7166635;5;8
7166636;5;14
7166637;5;9
7166641;5;14
7166642;5;9
7166645;5;13
7166647;5;4
7166648;5;3
7166663;5;11
7166673;5;4
7166674;5;8
7166683;5;12
7166687;5;4
7166689;5;4
7166692;5;2
7166693;5;3
7166694;5;4
7166695;5;1
7166708;5;10
7166710;5;7
7166716;5;5
7166721;5;13
7166725;5;4
7166733;5;9
7166735;5;14
7166738;5;2
7166739;5;6
7166741;5;10
7166743;5;8
7166744;5;7
7166746;5;5
7166748;5;4
7166749;5;4
7166750;5;5
7166752;5;9
7166756;5;7
7166762;5;2
7166765;5;13
7166767;5;7
7166772;5;9
7166774;5;14
7166781;5;5
7166782;5;5
7166784;5;12
7166786;5;1
7166787;5;4
7166788;5;4
7166792;5;10
7166793;5;4
7166794;5;4
7166795;5;6
7166796;5;0
7170398;5;5
7170400;5;4
7170401;5;5
7170402;5;8
7170403;5;8
7170404;5;3
7170406;5;3
7170407;5;10
7170408;5;2
7170409;5;6
7170410;5;5
7170411;5;9
7170412;5;3
7170413;5;3
7170414;5;4
7170415;5;4
7170416;5;3
7170417;5;8
7170418;5;5
7170421;5;8
7170424;5;5
7170425;5;17
7170426;5;6
7170427;5;3
7170428;5;12
7170429;5;4
7170431;5;3
7170433;5;7
7170440;5;2
7170443;5;3
7170448;5;12
7170465;5;2
7170466;5;12
7170469;5;6
7170473;5;5
7170484;5;4
7170485;5;5
7170487;5;8
7170490;5;8
7170496;5;5
7170498;5;7
7170499;5;5
7170500;5;6
7170503;5;5
7170504;5;6
7170505;5;6
7170506;5;5
7170507;5;6
7170510;5;4
7170511;5;6
7170516;5;7
7170517;5;3
7172269;5;9
7172272;5;10
7172276;5;8
7172279;5;8
7172282;5;4
7172283;5;13
7172284;5;14
7172285;5;4
7172286;5;9
7172287;5;2
7172289;5;5
7172291;5;9
7172292;5;9
7172294;5;10
7172296;5;2
7172298;5;8
7172299;5;9
7172303;5;12
7172304;5;14
7172307;5;9
7172309;5;5
7172313;5;13
7172315;5;10
7172318;5;11
7172324;5;7
7172327;5;3
7172329;5;4
7172333;5;10
7172334;5;3
7172338;5;6
7172339;5;8
7172340;5;7
7172341;5;10
7172342;5;4
7172345;5;11
7172347;5;1
7172348;5;9
7172349;5;13
7172352;5;1
7172361;5;2
7172363;5;3
7172367;5;13
7172369;5;3
7172372;5;5
7172374;5;4
7172375;5;9
7172376;5;13
7172380;5;8
7172382;5;7
7172383;5;8
7172384;5;2
7172387;5;5
7172391;5;2
7172393;5;2
7172396;5;14
7172405;5;13
7172406;5;3
7172407;5;13
7172445;5;1
7172456;5;13
7172457;5;4
7172461;5;4
7172462;5;10
7172463;5;3
7172464;5;4
7172466;5;4
7172467;5;6
7172470;5;6
7172471;5;5
7172472;5;11
7172480;5;3
7172491;5;13
7172495;5;8
7172496;5;2
7172499;5;3
7172500;5;7
7172501;5;6
7172502;5;6
7173744;11;1
7173746;11;16
7173748;11;10
7173750;11;2
7173752;11;8
7173755;11;6
7173758;11;6
7173759;11;4
7173760;11;9
7173763;11;6
7173765;11;7
7173766;11;8
7173768;11;7
7173774;11;7
7173775;11;5
7173776;11;14
7173777;11;6
7173778;11;8
7173779;11;4
7173780;11;4
7173781;11;0
7173782;11;4
7173783;11;5
7173784;11;3
7173785;11;2
