CodMunicipio;Ciudad;Año;Pobreza;PobrezaExtrema;Gini;TasaDesempleo;OcupacionInformal;ProporcionPoblacionPais;PorcentajeJovenes;DesempleoJovenes;IncidenciaCovid;NodoAglomeracion;ClasificacionOCDE
63001;Armenia;2020;45,3;15,5;0,513;18,6;58,7;0,6;22,6;28,7;9289,7;1;Predominantemente urbano
08001;Barranquilla A.M.;2020;41,2;12,7;0,498;11,6;59,9;2,5;25,1;22,7;12598,2;1;Predominantemente urbano
11001;Bogotá;2020;40,1;13,3;0,559;20,1;42,3;15,4;25,4;29,9;10440,8;1;Predominantemente urbano
68001;Bucaramanga A.M.;2020;46,1;16,4;0,509;15,0;55,8;1,2;24,9;23,8;7966,0;1;Predominantemente urbano
76001;Cali A.M.;2020;36,3;13,3;0,523;18,7;48,5;4,5;23,8;27,2;7590,2;1;Predominantemente urbano
13001;Cartagena;2020;47,8;12,6;0,499;11,5;55,3;2,0;26,1;22,4;7274,1;1;Predominantemente urbano
54001;Cúcuta A.M.;2020;53,5;20,7;0,522;22,5;72,4;1,5;26,0;30,0;4750,1;1;Predominantemente urbano
18001;Florencia;2020;50,5;16,7;0,512;16,8;59,5;0,3;28,2;25,7;7776,6;0;Predominantemente rural cercano
73001;Ibagué;2020;43,2;13,2;0,487;21,7;52,0;1,1;24,9;32,3;9038,5;0;Predominantemente urbano
17001;Manizales A.M.;2020;32,4;7,9;0,483;18,9;40,4;0,9;23,2;28,5;9742,6;1;Predominantemente urbano
05001;Medellín A.M.;2020;32,9;9,1;0,520;17,9;41,9;5,0;25,3;28,3;10471,6;1;Predominantemente urbano
23001;Montería;2020;46,8;13,5;0,485;17,1;59,7;1,0;25,3;25,0;6476,6;0;Intermedio
41001;Neiva;2020;48,0;14,7;0,492;20,6;54,2;0,7;24,4;30,7;9880,4;0;Intermedio
52001;Pasto;2020;45,7;13,6;0,518;15,1;55,9;0,8;24,0;24,9;7528,7;1;Intermedio
66001;Pereira A.M.;2020;40,6;10,4;0,466;15,5;47,7;0,9;23,1;25,0;7733,9;1;Predominantemente urbano
19001;Popayán;2020;50,9;20,0;0,522;18,9;54,1;0,6;24,6;26,5;6317,3;0;Intermedio
27001;Quibdó;2020;66,1;30,1;0,560;21,9;57,7;0,3;27,9;29,8;5555,6;0;Predominantemente rural cercano
44001;Riohacha;2020;57,1;27,7;0,549;23,2;67,1;0,4;27,9;31,1;8472,4;0;Intermedio
47001;Santa Marta;2020;55,1;23,1;0,522;15,6;66,3;1,1;26,7;24,3;8649,2;0;Intermedio
70001;Sincelejo;2020;49,8;13,3;0,513;15,4;67,1;0,6;26,0;26,3;6774,4;0;Intermedio
15001;Tunja;2020;45,0;14,9;0,524;19,8;41,4;0,4;26,5;28,6;9053,3;0;Intermedio
20001;Valledupar;2020;53,3;19,4;0,511;20,4;63,2;1,1;27,1;28,8;8266,4;0;Intermedio
50001;Villavicencio;2020;43,1;16,0;0,499;19,1;55,6;1,1;25,7;28,4;6484,6;1;Intermedio
63001;Armenia;2019;34,2;5,9;0,469;13,9;57,7;0,6;23,0;20,2;;1;Predominantemente urbano
08001;Barranquilla A.M.;2019;25,6;3,6;0,463;8,0;55,3;2,5;25,3;15,6;;1;Predominantemente urbano
11001;Bogotá;2019;27,2;4,2;0,513;9,9;42,3;15,4;25,9;18,6;;1;Predominantemente urbano
68001;Bucaramanga A.M.;2019;31,4;4,6;0,427;9,9;57,6;1,2;25,3;16,3;;1;Predominantemente urbano
76001;Cali A.M.;2019;21,9;4,7;0,465;12,0;45,0;4,5;24,0;20,1;;1;Predominantemente urbano
13001;Cartagena;2019;34,3;3,0;0,448;6,7;54,7;2,0;26,2;14,6;;1;Predominantemente urbano
54001;Cúcuta A.M.;2019;45,5;10,0;0,464;13,7;71,2;1,5;26,2;21,5;;1;Predominantemente urbano
18001;Florencia;2019;43,9;7,8;0,492;15,6;55,5;0,3;28,3;24,9;;0;Predominantemente rural cercano
73001;Ibagué;2019;30,9;3,2;0,450;17,6;52,5;1,1;25,3;28,2;;0;Predominantemente urbano
17001;Manizales A.M.;2019;20,6;1,9;0,430;12,5;38,6;0,9;23,6;22,3;;1;Predominantemente urbano
05001;Medellín A.M.;2019;24,4;3,7;0,484;10,9;40,1;5,0;25,7;17,2;;1;Predominantemente urbano
23001;Montería;2019;35,7;5,5;0,462;13,0;58,8;1,0;25,6;20,6;;0;Intermedio
41001;Neiva;2019;33,8;4,3;0,444;13,0;54,6;0,7;24,7;20,2;;0;Intermedio
52001;Pasto;2019;36,5;4,7;0,476;10,2;55,9;0,8;24,4;18,8;;1;Intermedio
66001;Pereira A.M.;2019;28,7;2,6;0,411;8,3;46,0;1,0;23,6;12,2;;1;Predominantemente urbano
19001;Popayán;2019;44,9;11,4;0,488;12,3;53,7;0,7;25,0;21,1;;0;Intermedio
27001;Quibdó;2019;60,9;23,8;0,562;18,9;54,4;0,3;28,2;25,6;;0;Predominantemente rural cercano
44001;Riohacha;2019;49,3;19,5;0,539;14,6;61,7;0,4;28,0;22,8;;0;Intermedio
47001;Santa Marta;2019;44,0;13,5;0,489;12,9;61,3;1,1;26,7;22,8;;0;Intermedio
70001;Sincelejo;2019;36,5;4,4;0,469;12,6;66,4;0,6;26,2;20,6;;0;Intermedio
15001;Tunja;2019;32,9;5,6;0,466;12,7;42,4;0,4;26,9;20,9;;0;Intermedio
20001;Valledupar;2019;40,8;9,4;0,466;15,9;59,9;1,0;27,3;24,6;;0;Intermedio
50001;Villavicencio;2019;30,3;7,1;0,478;12,2;55,4;1,1;26,1;18,7;;1;Intermedio
63001;Armenia;2018;35,3;6,4;0,457;13,5;57,1;0,6;23,4;19,6;;1;Predominantemente urbano
08001;Barranquilla A.M.;2018;24,9;2,7;0,443;8,6;53,2;2,5;25,3;16,8;;1;Predominantemente urbano
11001;Bogotá;2018;26,4;4,0;0,504;10,1;42,5;15,4;26,3;19,0;;1;Predominantemente urbano
68001;Bucaramanga A.M.;2018;29,8;3,1;0,432;8,2;54,2;1,2;25,7;13,5;;1;Predominantemente urbano
76001;Cali A.M.;2018;21,6;3,9;0,463;10,6;44,5;4,6;24,2;17,8;;1;Predominantemente urbano
13001;Cartagena;2018;34,9;4,4;0,452;10,3;53,2;2,0;26,3;22,4;;1;Predominantemente urbano
54001;Cúcuta A.M.;2018;41,0;7,6;0,440;15,7;70,6;1,5;26,3;24,6;;1;Predominantemente urbano
18001;Florencia;2018;43,6;7,5;0,485;12,6;60,3;0,3;28,4;20,1;;0;Predominantemente rural cercano
73001;Ibagué;2018;29,8;3,6;0,435;15,2;54,1;1,1;25,6;24,4;;0;Predominantemente urbano
17001;Manizales A.M.;2018;20,3;2,3;0,446;10,8;38,3;0,9;24,0;19,3;;1;Predominantemente urbano
05001;Medellín A.M.;2018;23,2;3,2;0,474;10,3;43,2;5,0;26,1;16,3;;1;Predominantemente urbano
23001;Montería;2018;32,6;5,3;0,451;10,5;61,5;1,0;25,9;16,6;;0;Intermedio
