Nombre_municipio;Año;Mes;CasosCovid;Poblacion2020;IncidenciaCovid_Acumulada;Incidencia_Mes;TasaDesempleo;TasaDesempleo2019;AumentoDesempleo20192020
BOGOTA;2020;enero;0;7743955;0,0;0,0;10,6;11,6;-1
BOGOTA;2020;febrero;0;7743955;0,0;0,0;10,8;12,9;-2,1
BOGOTA;2020;marzo;834;7743955;10,8;10,8;11,8;13,4;-1,6
BOGOTA;2020;abril;2674;7743955;45,3;34,5;14,5;11,9;2,6
BOGOTA;2020;mayo;8265;7743955;152,0;106,7;19,2;11;8,2
BOGOTA;2020;junio;29791;7743955;536,7;384,7;23,6;10,3;13,3
BOGOTA;2020;julio;91116;7743955;1713,3;1176,6;25,1;10,3;14,8
BOGOTA;2020;agosto;88968;7743955;2862,2;1148,9;24,1;10,4;13,7
BOGOTA;2020;septiembre;54075;7743955;3560,5;698,3;22;10;12
BOGOTA;2020;octubre;54558;7743955;4265,0;704,5;19,1;10,1;9
BOGOTA;2020;noviembre;55471;7743955;4981,3;716,3;17,2;9,7;7,5
BOGOTA;2020;diciembre;112547;7743955;6434,7;1453,4;16,3;9,9;6,4
MEDELLIN;2020;enero;0;2533424;0,0;0,0;11;11,8;-0,8
MEDELLIN;2020;febrero;0;2533424;0,0;0,0;11,8;12,8;-1
MEDELLIN;2020;marzo;112;2533424;4,4;4,4;12,9;13,5;-0,6
MEDELLIN;2020;abril;183;2533424;11,6;7,2;17,3;12,7;4,6
MEDELLIN;2020;mayo;327;2533424;24,6;12,9;21,6;12,4;9,2
MEDELLIN;2020;junio;2706;2533424;131,4;106,8;25,2;12,6;12,6
MEDELLIN;2020;julio;25241;2533424;1127,7;996,3;24,7;12,5;12,2
MEDELLIN;2020;agosto;24368;2533424;2089,5;961,9;22,6;12,6;10
MEDELLIN;2020;septiembre;22205;2533424;2966,0;876,5;20;12;8
MEDELLIN;2020;octubre;32705;2533424;4257,0;1290,9;16,9;11,6;5,3
MEDELLIN;2020;noviembre;17695;2533424;4955,4;698,5;16;10,8;5,2
MEDELLIN;2020;diciembre;28612;2533424;6084,8;1129,4;15,2;10,9;4,3
